,date,title,isEdited,userName,review,rating,Company_name
47,2021-01-30 00:53:32,Easy to use EXCEPT,False,Prof Angel,"We had both a coupon for a BOGO and in the order it said we should get a free meal under $12. We had one for $11 and change. No matter what we did, the app would not give use our free meal. Keep saying we had no qualifying items. It was the right amount and the right date.

App needs work.",3,Boston Market
48,2020-06-15 15:56:54,App Does Not Allow You to Enter a Gift Card,False,Ullas12345,Horriable app.  There is no option for putting in a gift card.  Every time I order it takes my credit card and when I go to the store to get a credit back to use the giftcard instead they refuse saying that payment has already been made.  It is like they want you to not use their gift cards.  Please fix and add an option to use payment of a giftcard or pay at store with it.,1,Boston Market
49,2021-10-09 00:01:49,1st order….,False,TammeyArn,Did my first order and get a call that they ran out of corn how does that happen by 4:30….. and no other vegetables that the grand kids would eat very disappointed……,5,Boston Market
50,2019-09-21 16:04:43,New app is much better,False,Heather9195,The old app was fine but the new one is much easier to use.  Funny comments on the menu too.  Also can use your gift card which you couldn’t before.  Love the Chicken Button.,5,Boston Market
51,2020-03-10 16:49:48,Love it,False,Karrianthony1,"It’s a little bit of a pain to figure out how to start the ordering process unless I always get the same thing, which I won’t. Other than that I’m loving every other part of this app!",5,Boston Market
52,2021-10-07 21:06:07,Pretty good food & App is helpful,False,_noballnolife,Pretty fresh when the food is cooked correctly but some locations drop the ball. I enjoy the app but there doesn’t seem to be a way o add rewards after purchasing; their best features are the text messaged coupons.,4,Boston Market
53,2021-10-22 21:40:01,Annoyed 😒,False,bklyngyal,"Whenever I had a food reward to redeem on the BM app it always went through. But for some odd reason I was trying to redeem a free half chicken meal but when I press the checkout button it says “Error, no applicable item to reward/redeem. I had exactly 95 points to redeem the free meal. I never had an issue ordering through the app till today. Please fix this. I don’t want my redeemed reward to expire.",1,Boston Market
54,2019-11-15 21:10:30,Compliments,False,cnanny48,"Yesterday my son and I went to store 1430 in Ormond beach,Fl the crew and manager were so helpful,knowledgeable and friendly. We felt so welcome. Juan  and the young lady that was there were like family. They both are truly an asset to your company and the community thankyou Gloria Casola the time of day was 3:53",5,Boston Market
55,2021-06-26 15:54:49,Lonnie & Sherry Perry,False,BroLonnie,"We enjoy the email and text messages for coupons for family meals and limited choices. 
The quality and our preferred store personal has been very good.
Lonnie&Sherry Perry",5,Boston Market
56,2021-09-01 22:02:56,Needs fixing,False,gylgamesh,"Ordering is pretty simple, but personal info on the app doesn’t match the website. And certain items can’t be edited once the info has been entered. My birthday is wrong and can’t be changed. This app and the website need some basic QA.",3,Boston Market
57,2020-03-13 23:29:11,Great app but needs a way to get points paying in store,False,annoyed gamer 745364,There have been times where I was in the neighborhood and wanted to stop in but then I would have to sit in the parking lot filling out everything that I wanted when I could have gone inside and the process would’ve been a lot quicker,3,Boston Market
58,2021-04-22 16:27:26,Clicking on notifications not working,False,Wacky wilco,"I get a notification saying but one get one free - click to screenshot.  I click and it brings up the app with no mention of the offer.  Since my notifications are set as temporary, it’s no longer available either.  Not exactly bait and switch but bait and yank away the offer.",2,Boston Market
59,2021-10-02 09:42:05,Missing Points,False,Sbshine12,"After ordering, I never receive rewards points despite being logged in. When you contact them for support they gaslight you. They make you feel as though you did something wrong regardless of proof. They need to overhaul their rewards program. After reading recent reviews, I see I'm not the only one with the issue.",1,Boston Market
60,2020-05-10 02:31:54,Love this store,False,Ladytbolt,"Thank you for having a store in Meyerland. I love going in because all I get is smiles. All of the ladies know me and you get number one treatment.  What is so good about it is they know what I want. Thank you beautiful Ladies. 
Ms. Annie",5,Boston Market
61,2020-06-07 17:28:24,Tip amount restricted,False,kdugganny,"I like this app and love ordering from Boston Market, but I have to order using their website to choose my own tip. When checking out using the app, the only four options for tipping the delivery person are :
None
10%
15% or 
20% of the food total. 
However, during the pandemic I have wanted to tip more than 20% because of the risk taken on by the delivery person. On the website, I can choose to apply whatever tip I want. Until this is changed, I will have to keep ordering from the website.",3,Boston Market
